scene,track_id,annotation_points,start_s,end_s,duration_s,components,rendered_edges,linked_path_length_m
seq_eth,1,7,0.000000,2.400000,2.400000,1,6,4.044578
seq_eth,2,37,1.600000,16.000000,14.400000,1,36,16.029654
seq_eth,3,32,3.600000,16.000000,12.400000,1,31,13.381596
seq_eth,4,24,4.400000,13.600000,9.200000,1,23,14.055171
seq_eth,5,24,4.400000,13.600000,9.200000,1,23,14.104360
seq_eth,6,30,4.400000,16.000000,11.600000,1,29,13.162032
seq_eth,7,16,10.000000,16.000000,6.000000,1,15,11.519274
seq_eth,8,31,11.200000,23.200000,12.000000,1,30,16.800383
seq_eth,9,10,18.000000,21.600000,3.600000,1,9,0.206463
seq_eth,10,10,18.000000,21.600000,3.600000,1,9,0.222717
seq_eth,11,33,18.000000,30.800000,12.800000,1,32,14.043124
seq_eth,12,33,18.000000,30.800000,12.800000,1,32,14.322580
seq_eth,13,30,19.200000,30.800000,11.600000,1,29,12.903780
seq_eth,14,29,19.600000,30.800000,11.200000,1,28,13.185957
seq_eth,15,27,20.400000,30.800000,10.400000,1,26,12.671322
seq_eth,16,24,21.600000,30.800000,9.200000,1,23,11.368001
seq_eth,17,24,21.600000,30.800000,9.200000,1,23,13.643702
seq_eth,18,23,22.000000,30.800000,8.800000,1,22,11.947294
seq_eth,20,21,22.800000,30.800000,8.000000,1,20,12.137699
seq_eth,21,17,24.400000,30.800000,6.400000,1,16,9.295391
seq_eth,22,23,29.600000,38.400000,8.800000,1,22,13.580896
seq_eth,23,15,33.600000,39.200000,5.600000,1,14,8.396265
seq_eth,24,15,33.600000,39.200000,5.600000,1,14,9.192841
seq_eth,25,15,33.600000,39.200000,5.600000,1,14,11.860648
seq_eth,26,3,37.600000,38.400000,0.800000,1,2,1.037602
seq_eth,27,9,37.600000,40.800000,3.200000,1,8,5.424505
seq_eth,28,21,44.400000,52.400000,8.000000,1,20,11.746903
seq_eth,29,21,44.400000,52.400000,8.000000,1,20,11.432378
seq_eth,30,22,44.400000,52.800000,8.400000,1,21,10.021658
seq_eth,31,14,47.200000,52.400000,5.200000,1,13,8.996035
seq_eth,33,26,50.000000,60.000000,10.000000,1,25,13.441566
seq_eth,34,25,50.400000,60.000000,9.600000,1,24,13.668140
seq_eth,35,17,64.800000,71.200000,6.400000,1,16,8.796183
seq_eth,36,22,68.000000,76.400000,8.400000,1,21,13.772326
seq_eth,37,21,68.800000,76.800000,8.000000,1,20,13.662647
seq_eth,38,18,76.400000,83.200000,6.800000,1,17,13.677201
seq_eth,39,17,79.200000,85.600000,6.400000,1,16,12.459923
seq_eth,40,28,80.000000,90.800000,10.800000,1,27,16.645074
seq_eth,41,30,88.800000,100.400000,11.600000,1,29,15.858950
seq_eth,42,29,89.200000,100.400000,11.200000,1,28,14.638367
seq_eth,43,27,90.000000,100.400000,10.400000,1,26,15.078687
seq_eth,44,27,90.000000,100.400000,10.400000,1,26,14.995284
seq_eth,45,20,93.600000,101.200000,7.600000,1,19,12.177842
seq_eth,46,18,94.400000,101.200000,6.800000,1,17,9.835142
seq_eth,47,15,95.600000,101.200000,5.600000,1,14,9.897242
seq_eth,48,27,97.200000,107.600000,10.400000,1,26,16.609285
seq_eth,49,11,99.600000,103.600000,4.000000,1,10,7.440247
seq_eth,50,13,138.800000,143.600000,4.800000,1,12,7.975145
seq_eth,51,64,138.800000,164.000000,25.200000,1,63,2.555758
seq_eth,52,64,138.800000,164.000000,25.200000,1,63,0.206200
seq_eth,53,11,138.800000,142.800000,4.000000,1,10,7.694868
seq_eth,54,11,138.800000,142.800000,4.000000,1,10,7.431635
seq_eth,55,15,138.800000,144.400000,5.600000,1,14,9.927040
seq_eth,56,53,138.800000,159.600000,20.800000,1,52,2.069420
seq_eth,57,15,138.800000,144.400000,5.600000,1,14,10.098724
seq_eth,58,18,142.000000,148.800000,6.800000,1,17,13.384075
seq_eth,59,23,148.400000,157.200000,8.800000,1,22,13.815957
seq_eth,60,23,148.400000,157.200000,8.800000,1,22,13.824065
seq_eth,61,26,154.400000,164.400000,10.000000,1,25,14.787842
seq_eth,62,25,154.800000,164.400000,9.600000,1,24,15.260773
seq_eth,63,14,159.200000,164.400000,5.200000,1,13,8.058171
seq_eth,64,15,191.200000,196.800000,5.600000,1,14,8.691972
seq_eth,65,6,191.200000,193.200000,2.000000,1,5,2.386421
seq_eth,66,6,191.200000,193.200000,2.000000,1,5,2.414580
seq_eth,67,6,191.200000,193.200000,2.000000,1,5,2.839188
seq_eth,68,21,191.200000,199.200000,8.000000,1,20,14.433611
seq_eth,69,17,225.533333,231.933333,6.400000,1,16,10.920197
seq_eth,70,27,227.933333,238.333333,10.400000,1,26,13.862041
seq_eth,71,27,227.933333,238.333333,10.400000,1,26,13.113238
seq_eth,72,27,227.933333,238.333333,10.400000,1,26,14.920904
seq_eth,73,27,227.933333,238.333333,10.400000,1,26,14.969053
seq_eth,74,26,229.533333,239.533333,10.000000,1,25,14.157214
seq_eth,75,26,229.533333,239.533333,10.000000,1,25,14.276689
seq_eth,76,26,229.533333,239.533333,10.000000,1,25,14.362200
seq_eth,77,23,235.133333,243.933333,8.800000,1,22,15.645840
seq_eth,78,23,235.133333,243.933333,8.800000,1,22,14.542810
seq_eth,79,33,236.733333,249.533333,12.800000,1,32,15.459048
seq_eth,80,22,238.333333,246.733333,8.400000,1,21,14.958798
seq_eth,81,25,242.733333,252.333333,9.600000,1,24,16.756949
seq_eth,82,25,245.533333,255.133333,9.600000,1,24,15.392980
seq_eth,83,24,254.333333,263.533333,9.200000,1,23,13.864148
seq_eth,84,26,256.733333,266.733333,10.000000,1,25,13.300025
seq_eth,85,26,256.733333,266.733333,10.000000,1,25,13.247662
seq_eth,86,29,261.533333,272.733333,11.200000,1,28,18.903526
seq_eth,87,28,262.333333,273.133333,10.800000,1,27,17.723376
seq_eth,88,24,263.133333,272.333333,9.200000,1,23,14.209174
seq_eth,89,24,263.133333,272.333333,9.200000,1,23,14.574217
seq_eth,90,18,263.133333,269.933333,6.800000,1,17,12.740673
seq_eth,91,24,264.333333,273.533333,9.200000,1,23,14.307200
seq_eth,92,27,268.333333,278.733333,10.400000,1,26,14.672427
seq_eth,93,29,268.333333,279.533333,11.200000,1,28,15.282874
