scene,track_id,left_frame,right_frame,interval_s,distance_m,reason
zara01,8,532,935,16.119999999999997,0.3055083632243153,control_interval_over_guard
zara01,8,1035,1204,6.759999999999998,0.5030105863697105,control_interval_over_guard
zara01,9,326,548,8.880000000000003,0.43025729697472903,control_interval_over_guard
zara01,33,1789,1961,6.8799999999999955,0.2527473244170944,control_interval_over_guard
zara01,85,5385,5490,4.199999999999989,6.752268741112131,control_interval_over_guard
zara01,109,6427,6529,4.080000000000041,6.371795406775079,control_interval_over_guard
zara01,148,8702,8977,11.0,0.5001117675080242,control_interval_over_guard
zara02,38,1741,1917,7.039999999999992,0.3502803020439491,control_interval_over_guard
zara02,39,1676,1879,8.120000000000005,0.32677394326965575,control_interval_over_guard
zara02,40,1764,1952,7.52000000000001,0.5807372986127202,control_interval_over_guard
zara02,41,1928,2081,6.1200000000000045,0.5624000088904694,control_interval_over_guard
zara02,43,2223,2450,9.079999999999998,0.4455280490608862,control_interval_over_guard
zara02,43,2450,2659,8.36,0.4714351943798851,control_interval_over_guard
zara02,43,2736,2933,7.8799999999999955,0.41163253284938495,control_interval_over_guard
zara02,44,2234,2602,14.719999999999999,0.3502710470478538,control_interval_over_guard
zara02,44,2763,2931,6.719999999999999,0.26396539545932907,control_interval_over_guard
zara02,44,2931,3189,10.319999999999993,0.30207936043364486,control_interval_over_guard
zara02,44,3221,3372,6.039999999999992,0.3703285703264063,control_interval_over_guard
zara02,44,3372,3498,5.0400000000000205,0.42817254699478374,control_interval_over_guard
zara02,44,3498,4144,25.840000000000003,0.25972050361879406,control_interval_over_guard
zara02,44,4144,4247,4.119999999999976,0.519540922353572,control_interval_over_guard
zara02,44,4247,4370,4.920000000000016,0.5231289038086123,control_interval_over_guard
zara02,44,4370,4642,10.879999999999995,0.5409641855058427,control_interval_over_guard
zara02,44,4642,4768,5.039999999999992,0.30217387378792326,control_interval_over_guard
zara02,44,4830,5176,13.840000000000003,0.3784146535217684,control_interval_over_guard
zara02,69,4122,4543,16.840000000000003,0.2952508677379288,control_interval_over_guard
zara02,69,4543,6205,66.48000000000002,0.3393443142296626,control_interval_over_guard
zara02,69,6205,6332,5.079999999999984,0.41801751889125405,control_interval_over_guard
zara02,69,6553,7191,25.519999999999982,0.31888190666765664,control_interval_over_guard
zara02,69,7239,9583,93.75999999999999,0.15647030900461598,control_interval_over_guard
zara02,70,4169,5726,62.28,0.2855895567068235,control_interval_over_guard
zara02,70,5842,6523,27.24000000000001,0.30426073095291156,control_interval_over_guard
zara02,70,6523,7000,19.079999999999984,0.21901722786118907,control_interval_over_guard
zara02,70,7000,9569,102.75999999999999,0.18186008305562823,control_interval_over_guard
zara02,71,4210,4316,4.240000000000009,0.3881201489229849,control_interval_over_guard
zara02,71,4316,5040,28.960000000000008,0.2618107562725412,control_interval_over_guard
zara02,71,5040,5800,30.399999999999977,0.24043286485004497,control_interval_over_guard
zara02,71,5800,6300,20.0,0.2857313159245937,control_interval_over_guard
zara02,76,5000,5456,18.24000000000001,0.3033,control_interval_over_guard
zara02,77,4943,5200,10.280000000000001,0.2209710589647434,control_interval_over_guard
zara02,77,5200,5400,8.0,0.2038862891417665,control_interval_over_guard
zara02,88,5103,5237,5.360000000000014,0.17518461690456716,control_interval_over_guard
zara02,106,5849,5991,5.680000000000007,0.3526401139972591,control_interval_over_guard
zara02,111,5816,5930,4.560000000000002,0.15587558371983726,control_interval_over_guard
zara02,111,5930,6800,34.79999999999998,0.17141034857907503,control_interval_over_guard
zara02,111,6800,9569,110.75999999999999,0.10392318749922942,control_interval_over_guard
zara02,112,5867,8000,85.32,0.19052081251138936,control_interval_over_guard
zara02,112,8000,9500,60.0,0.07793989286623383,control_interval_over_guard
zara02,130,7087,7544,18.279999999999973,0.13246784515496593,control_interval_over_guard
zara02,131,7210,7344,5.359999999999957,0.3157775957853877,control_interval_over_guard
zara02,169,8766,9192,17.04000000000002,0.25274732441709474,control_interval_over_guard
zara02,169,9192,9511,12.759999999999991,0.23792120544415563,control_interval_over_guard
zara02,169,9511,10289,31.120000000000005,0.2318423818028104,control_interval_over_guard
zara02,174,8740,8885,5.800000000000011,0.23380547470065796,control_interval_over_guard
zara02,174,8885,9134,9.95999999999998,0.19490000000000007,control_interval_over_guard
zara02,177,9279,9404,5.0,0.4284043883995589,control_interval_over_guard
zara02,177,9404,9596,7.680000000000007,0.37744345271841706,control_interval_over_guard
zara02,178,9165,9439,10.95999999999998,0.1486799582996984,control_interval_over_guard
zara02,178,9485,9635,6.0,0.22856169845361216,control_interval_over_guard
zara02,179,9280,9395,4.600000000000023,0.2762240033016683,control_interval_over_guard
zara02,186,9928,10081,6.1200000000000045,0.0914615307110043,control_interval_over_guard
students03,4,32,287,10.200000000000001,0.3950392638713263,control_interval_over_guard
students03,4,379,563,7.359999999999999,0.22984465210224062,control_interval_over_guard
students03,4,634,744,4.400000000000002,0.5655971447063716,control_interval_over_guard
students03,14,0,115,4.6,0.5734728328351746,control_interval_over_guard
students03,41,694,826,5.279999999999998,0.23846752399435858,control_interval_over_guard
students03,51,1038,1142,4.159999999999997,0.5286517946626115,control_interval_over_guard
students03,51,1333,1487,6.159999999999997,0.48374757880531044,control_interval_over_guard
students03,60,1511,1615,4.159999999999997,0.7658805389876414,control_interval_over_guard
students03,72,1871,2080,8.36,0.07761552679715594,control_interval_over_guard
students03,74,564,672,4.32,0.3634404077699675,control_interval_over_guard
students03,103,1862,2111,9.959999999999994,0.16216747516071126,control_interval_over_guard
students03,121,2399,2608,8.36,0.13803709646323328,control_interval_over_guard
students03,121,2608,2739,5.240000000000009,0.4280631303908339,control_interval_over_guard
students03,123,2412,2712,12.0,0.16017281292404162,control_interval_over_guard
students03,142,2900,3479,23.159999999999997,0.31075760650384726,control_interval_over_guard
students03,142,3574,3922,13.919999999999987,0.4306622370257228,control_interval_over_guard
students03,142,4094,4227,5.320000000000022,0.29201698580733265,control_interval_over_guard
students03,155,3299,3412,4.519999999999982,0.18950482843452815,control_interval_over_guard
students03,155,3668,3838,6.800000000000011,0.4825746358533568,control_interval_over_guard
students03,160,3553,3694,5.639999999999986,0.12256120919769085,control_interval_over_guard
students03,179,4500,4635,5.400000000000006,0.21326099033812984,control_interval_over_guard
students03,203,5081,5238,6.280000000000001,0.18621959188012402,control_interval_over_guard
students03,217,0,123,4.92,0.3952943932058738,control_interval_over_guard
students03,219,0,126,5.04,0.33637095133200784,control_interval_over_guard
students03,219,339,446,4.279999999999999,0.14725898953883923,control_interval_over_guard
students03,220,0,130,5.2,0.34714726071942437,control_interval_over_guard
students03,222,799,986,7.479999999999997,0.061922935976906,control_interval_over_guard
students03,222,986,1314,13.120000000000005,0.43038997432561127,control_interval_over_guard
students03,222,1583,1685,4.080000000000005,0.3199710611914773,control_interval_over_guard
students03,232,1338,1503,6.599999999999994,0.504181881864075,control_interval_over_guard
students03,232,1616,1944,13.120000000000005,0.35891153506121826,control_interval_over_guard
students03,232,2211,2481,10.799999999999997,0.24034995319325525,control_interval_over_guard
students03,232,2599,3415,32.64,0.6072100460302021,control_interval_over_guard
students03,233,1672,1793,4.840000000000003,0.8410018884639915,control_interval_over_guard
students03,233,1839,1980,5.640000000000001,0.1895776885606531,control_interval_over_guard
students03,233,2231,2360,5.160000000000011,0.23713952875891434,control_interval_over_guard
students03,233,2360,2472,4.47999999999999,0.2769491650104762,control_interval_over_guard
students03,233,2594,2957,14.519999999999996,0.1380370964632333,control_interval_over_guard
students03,233,2957,3143,7.439999999999998,0.4699203336736986,control_interval_over_guard
students03,233,3175,3362,7.47999999999999,0.09274750670503226,control_interval_over_guard
students03,233,3362,3466,4.159999999999997,0.27780995302544526,control_interval_over_guard
students03,238,2182,2300,4.719999999999999,0.4431841603667714,control_interval_over_guard
students03,238,2300,2486,7.439999999999998,0.29074987532241525,control_interval_over_guard
students03,238,2624,3197,22.92,0.2686690157051984,control_interval_over_guard
students03,238,3197,3461,10.560000000000002,0.1502804045775762,control_interval_over_guard
students03,248,2574,3340,30.64,0.5442851698328739,control_interval_over_guard
students03,248,3340,3684,13.76000000000002,0.22332199712522688,control_interval_over_guard
