id,path_m,detour_ratio,signed_lateral_mean_m,max_lateral_m,approach_speed_mps,closest_speed_mps,arrival_s,ade_m,fde_m,case
1,21.083376,1.037250,0.055419,0.826200,2.201476,1.401592,11.920000,0.000000,0.000000,observed
2,20.996808,1.044638,-0.056842,0.544370,1.851053,0.814695,14.480000,0.000000,0.000000,observed
3,23.468516,1.178276,1.152816,3.484271,2.805951,2.146548,11.080000,0.000000,0.000000,observed
4,21.788313,1.085180,0.452014,2.146204,1.946589,1.202361,13.440000,0.000000,0.000000,observed
5,21.986869,1.079650,-0.043737,0.658850,2.882913,1.823717,9.760000,0.000000,0.000000,observed
6,20.980341,1.047636,-0.337140,0.895962,1.983485,0.914771,13.440000,0.000000,0.000000,observed
7,22.474799,1.120070,1.229804,3.444897,1.542062,1.889892,12.920000,0.000000,0.000000,observed
8,21.903446,1.093495,0.181663,1.651320,3.051694,2.128153,9.640000,0.000000,0.000000,observed
9,27.225952,1.337253,2.687617,7.402404,2.760282,2.646293,11.400000,0.000000,0.000000,observed
10,25.498021,1.246867,-1.680565,5.221659,1.911770,2.858950,10.760000,0.000000,0.000000,observed
11,24.629830,1.217975,2.641512,5.978369,1.949998,1.967552,13.480000,0.000000,0.000000,observed
12,21.935426,1.111105,0.714586,2.714828,3.158915,3.646763,7.080000,0.000000,0.000000,observed
13,20.678935,1.034727,0.071887,0.752108,1.359190,1.237817,16.200000,0.000000,0.000000,observed
14,20.982867,1.045277,-0.025213,0.751720,1.553564,0.648955,16.240000,0.000000,0.000000,observed
15,21.561951,1.047832,0.151619,1.485512,2.554768,1.476922,10.400000,0.000000,0.000000,observed
16,21.025539,1.035784,0.090594,0.677763,2.236417,1.206446,12.000000,0.000000,0.000000,observed
17,20.815834,1.031417,-0.135216,0.970715,1.917866,1.095422,13.160000,0.000000,0.000000,observed
18,22.302749,1.100440,-1.379549,3.383381,2.091981,1.097795,15.040000,0.000000,0.000000,observed
19,30.538423,1.530630,-2.636934,8.994705,3.340350,4.211871,8.680000,0.000000,0.000000,observed
20,21.453568,1.105377,0.230649,1.416847,3.034241,1.185071,8.680000,0.000000,0.000000,observed
