id,x0_m,y0_m,vx0_mps,vy0_mps,desired_speed_mps,model_side_sign,goal_x_m,goal_y_m
1,-2.06702000,-10.01430000,0.06715000,0.48310000,2.30591291,-1,2.33289068,9.83000197
2,1.98423000,-9.96996000,0.02675000,0.51320000,1.84355046,1,-1.71835932,9.78566197
3,3.90137000,-9.31046000,-0.34040000,0.70385000,2.72654112,-1,-3.63549932,9.12616197
4,6.34887000,-7.97532000,-0.27730000,0.44980000,1.95994856,-1,-6.08299932,7.79102197
5,-7.78070000,-6.49962000,0.13880000,0.06930000,2.56515357,1,8.04657068,6.31532197
6,9.69193000,-3.07368000,-0.83865000,0.30765000,2.06691224,-1,-9.42605932,2.88938197
7,-9.47210000,-2.99038000,0.33535000,-0.04165000,1.52997458,-1,9.73797068,2.80608197
8,10.11350000,0.74168500,-0.40050000,-0.13756000,3.00594686,-1,-9.84762932,-0.92598303
9,9.51821000,3.85058000,-0.13775000,0.04005000,2.50071336,1,-9.25233932,-4.03487803
10,-8.99911000,4.50709000,0.27860000,-0.01525000,1.45925061,1,9.26498068,-4.69138803
11,8.00634000,6.25146000,-0.30375000,-0.08855000,1.77218101,1,-7.74046932,-6.43575803
12,7.02727000,6.97218000,-0.58270000,-0.72945000,2.95180959,-1,-6.76139932,-7.15647803
13,-7.07809000,6.82524000,0.01790000,-0.01340000,1.27494198,1,7.34396068,-7.00953803
14,-2.08190000,9.69742000,-0.05785000,-0.36350000,1.63333435,-1,2.34777068,-9.88171803
15,3.05905000,-9.95613000,-0.13335000,0.25740000,2.58137178,1,-2.79317932,9.77183197
16,-2.85727000,-9.79125000,0.44265000,0.42010000,2.37246760,1,3.12314068,9.60695197
17,-3.79717000,-9.38625000,0.13245000,0.31240000,1.92408235,1,4.06304068,9.20195197
18,5.61920000,-8.61212000,-0.25595000,0.15915000,2.09395445,1,-5.35332932,8.42782197
19,-5.47642000,-8.34146000,-0.30265000,0.75260000,3.04733774,-1,5.74229068,8.15716197
20,-4.42562000,-8.65899000,0.31395000,1.42010000,3.19857211,1,4.69149068,8.47469197
