case,people,duration_s,mean_path_m,median_detour_ratio,mean_speed_mps,min_mean_radius_m,time_min_mean_radius_s,right_fraction,left_fraction,right_fraction_zero_threshold,neutral_fraction,median_max_lateral_m,approach_speed_mps,closest_approach_speed_mps,slower_at_closest_fraction,mean_heading_deviation_deg,arrived_by_end,median_arrival_s_completed_only,min_swept_center_distance_m,disk_overlap_pair_intervals,disk_overlap_unique_pairs,ade_after_calibration_m,fde_m,lp_fallback_agent_steps,max_constraint_violation_mps,integration_min_spacing_m,integration_overlap_pair_steps,integration_overlap_pair_seconds,max_disk_penetration_mm,max_command_acceleration_mps2,integration_dt_s,horizon_s,radius_m,right_bias_rad,speed_seed,side_seed,right_preference_probability,speed_curve_rmse_mps,radius_curve_rmse_m
observed,64,16.96000000,22.32420405,1.08855850,1.30413867,3.53771988,5.32000000,0.59375000,0.28125000,0.65625000,0.12500000,2.14928606,2.25537992,1.81511401,0.76562500,16.12530497,64,12.76000000,0.15602700,1154,96,0.00000000,0.00000000,,,,,,,,,,,,,,,,
straight,64,16.96000000,20.11932010,1.00000000,1.18485940,2.50148221,4.80000000,0.00000000,0.00000000,0.46875000,1.00000000,0.00000000,2.15158438,2.18403884,0.00000000,0.00000017,63,10.28000000,0.00105196,5646,485,2.01485600,0.25812311,0.00000000,0.00000000,0.00105196,5646.00000000,225.84000000,498.94803561,19.07923606,0.04000000,2.00000000,0.25000000,0.00000000,,,,0.32398824,0.89518279
orca,64,16.96000000,18.86335917,1.00048803,1.11077239,2.72438236,5.28000000,0.39062500,0.48437500,0.46875000,0.12500000,1.74536621,2.01336364,1.24937654,0.85937500,13.64059719,35,10.36000000,0.47113857,1468,119,3.34224623,2.32680652,5770.00000000,0.38624478,0.47113857,1468.00000000,58.72000000,28.86142818,44.16352074,0.04000000,2.00000000,0.25000000,0.00000000,,,,0.45650786,1.98273202
orca_right,64,16.96000000,20.86637349,1.02020364,1.22807476,2.96881380,5.00000000,0.56250000,0.34375000,0.60937500,0.09375000,1.51540930,2.05580087,1.79614696,0.68750000,10.49523815,63,12.04000000,0.48295841,289,91,1.95107979,0.29764773,3524.00000000,0.20687295,0.48295841,289.00000000,11.56000000,17.04158539,36.83649569,0.04000000,2.00000000,0.25000000,0.30000000,,42.00000000,0.65000000,0.16272452,0.32570136
uniform_right,64,16.96000000,20.38364843,1.00898720,1.19991007,2.89868970,4.92000000,0.84375000,0.01562500,0.95312500,0.14062500,1.13563349,2.07031396,1.97291777,0.53125000,7.01894503,63,11.00000000,0.49156898,184,56,1.84651213,0.30109837,2903.00000000,0.10497798,0.49156898,184.00000000,7.36000000,8.43102245,22.56330697,0.04000000,2.00000000,0.25000000,0.15000000,,,,0.18640467,0.41595983
bias_050,64,16.96000000,21.46495681,1.05041012,1.26261314,3.36089473,5.04000000,0.56250000,0.42187500,0.56250000,0.01562500,2.53935549,2.04062730,1.96655033,0.50000000,13.49080702,62,11.34000000,0.49125367,202,62,2.05336219,0.30097538,2673.00000000,0.11657366,0.49125367,202.00000000,8.08000000,8.74633490,36.91394747,0.04000000,2.00000000,0.25000000,0.50000000,,42.00000000,0.65000000,0.16479348,0.37906828
bias_070,64,16.96000000,22.23307832,1.08787968,1.30719647,3.87990014,4.80000000,0.54687500,0.45312500,0.54687500,0.00000000,3.34169933,2.03337021,2.03575136,0.35937500,17.24887835,61,11.80000000,0.49637595,48,24,2.29693094,0.30289818,1620.00000000,0.05583550,0.49637595,48.00000000,1.92000000,3.62405179,32.03176273,0.04000000,2.00000000,0.25000000,0.70000000,,42.00000000,0.65000000,0.14626972,0.54272689
horizon_1,64,16.96000000,20.67386370,1.02849112,1.21653397,2.80615015,5.20000000,0.50000000,0.45312500,0.54687500,0.04687500,1.67192270,2.13597866,1.67492547,0.81250000,12.79180568,59,11.80000000,0.48434408,540,79,2.04363949,0.46170847,2366.00000000,0.19630856,0.48434408,540.00000000,21.60000000,15.65591876,40.21086791,0.04000000,1.00000000,0.25000000,0.30000000,,42.00000000,0.65000000,0.17528160,0.44634495
horizon_3,64,16.96000000,20.96491801,1.02081547,1.23372421,2.90162622,5.16000000,0.42187500,0.43750000,0.50000000,0.14062500,1.61046501,1.87998006,1.78732924,0.53125000,11.55269463,57,11.96000000,0.47610882,373,82,2.18499424,0.44507174,5244.00000000,0.30910911,0.47610882,373.00000000,14.92000000,23.89117825,27.35167898,0.04000000,3.00000000,0.25000000,0.30000000,,42.00000000,0.65000000,0.20363938,0.42150084
radius_020,64,16.96000000,20.55515977,1.01553998,1.20999797,2.83669607,4.92000000,0.51562500,0.37500000,0.56250000,0.10937500,1.46882923,2.09105695,2.02974893,0.56250000,7.95951906,62,10.58000000,0.38980320,101,56,1.85282659,0.26470605,2714.00000000,0.06954529,0.38980320,101.00000000,4.04000000,10.19680300,23.15395329,0.04000000,2.00000000,0.20000000,0.30000000,,42.00000000,0.65000000,0.23252283,0.63360054
radius_030,64,16.96000000,19.77716453,1.01030827,1.16424035,3.08100945,5.12000000,0.45312500,0.42187500,0.53125000,0.12500000,2.19371251,1.99381972,1.43665342,0.79687500,20.15348583,38,12.78000000,0.57319213,1415,121,3.47407127,2.23519365,6035.00000000,0.36741929,0.57319213,1415.00000000,56.60000000,26.80786517,35.01620736,0.04000000,2.00000000,0.30000000,0.30000000,,42.00000000,0.65000000,0.41957408,1.39752366
speed_seed_1,64,16.96000000,20.82121424,1.02404144,1.22525799,2.83466801,5.04000000,0.46875000,0.34375000,0.56250000,0.18750000,1.84654968,2.04426244,1.86672311,0.57812500,11.36042565,62,11.52000000,0.47756326,475,89,2.09184457,0.33654384,3702.00000000,0.28401883,0.47756326,475.00000000,19.00000000,22.43674238,55.78247336,0.04000000,2.00000000,0.25000000,0.30000000,1.00000000,42.00000000,0.65000000,0.15805103,0.38803573
speed_seed_2,64,16.96000000,20.67466038,1.02293026,1.21693653,2.86360796,4.80000000,0.54687500,0.40625000,0.57812500,0.04687500,1.82128947,2.06737030,1.84471840,0.57812500,11.60727747,60,10.88000000,0.48519277,347,86,2.10321109,0.45346369,3623.00000000,0.20486304,0.48519277,347.00000000,13.88000000,14.80723455,34.52611423,0.04000000,2.00000000,0.25000000,0.30000000,2.00000000,42.00000000,0.65000000,0.16580725,0.43768147
side_seed_43,64,16.96000000,20.71561044,1.01816359,1.21929825,2.91052841,4.92000000,0.76562500,0.20312500,0.78125000,0.03125000,1.52882466,2.04350423,1.89821334,0.67187500,10.50188233,61,10.64000000,0.48306081,251,77,1.88320272,0.36237677,3077.00000000,0.19978199,0.48306081,251.00000000,10.04000000,16.93919451,37.56791655,0.04000000,2.00000000,0.25000000,0.30000000,,43.00000000,0.65000000,0.17742729,0.41459094
side_seed_44,64,16.96000000,20.80025162,1.02373182,1.22410695,3.00633468,4.80000000,0.54687500,0.39062500,0.56250000,0.06250000,1.70558461,2.08266943,1.90220441,0.60937500,9.92604729,62,11.34000000,0.47957833,335,83,1.93058028,0.26289895,3325.00000000,0.24110246,0.47957833,335.00000000,13.40000000,20.42166573,41.64810392,0.04000000,2.00000000,0.25000000,0.30000000,,44.00000000,0.65000000,0.16009303,0.37216321
dt_002,64,16.96000000,21.20116929,1.03258879,1.24744205,3.20743014,4.96000000,0.53125000,0.39062500,0.56250000,0.07812500,1.84385688,2.04229443,1.66383670,0.67187500,12.96468317,60,13.00000000,0.49573403,507,128,2.15749540,0.29459469,6701.00000000,0.10166893,0.49613918,516.00000000,10.32000000,3.86081561,89.83936778,0.02000000,2.00000000,0.25000000,0.30000000,,42.00000000,0.65000000,0.20208925,0.43509683
