time_s,mean_speed_mps,mean_radius_m,minimum_spacing_m,people_within_3m,arrived_fraction,case
0.000000,0.453137,10.068854,0.804999,0,0.000000,observed
0.040000,0.504758,10.058056,0.799056,0,0.000000,observed
0.080000,0.534122,10.038672,0.804240,0,0.000000,observed
0.120000,0.579273,10.023136,0.799084,0,0.000000,observed
0.160000,0.612431,10.002301,0.762729,0,0.000000,observed
0.200000,0.642122,9.982961,0.745472,0,0.000000,observed
0.240000,0.731610,9.953975,0.739915,0,0.000000,observed
0.280000,0.773785,9.926850,0.718025,0,0.000000,observed
0.320000,0.882062,9.891934,0.705180,0,0.000000,observed
0.360000,0.931204,9.858399,0.665448,0,0.000000,observed
0.400000,1.024134,9.823428,0.674428,0,0.000000,observed
0.440000,1.092858,9.778815,0.622301,0,0.000000,observed
0.480000,1.156033,9.745181,0.623977,0,0.000000,observed
0.520000,1.215540,9.689248,0.604052,0,0.000000,observed
0.560000,1.261804,9.651774,0.604098,0,0.000000,observed
0.600000,1.329309,9.598727,0.585363,0,0.000000,observed
0.640000,1.368238,9.545316,0.517292,0,0.000000,observed
0.680000,1.435163,9.498560,0.412907,0,0.000000,observed
0.720000,1.448187,9.444434,0.372427,0,0.000000,observed
0.760000,1.513632,9.395666,0.403201,0,0.000000,observed
0.800000,1.544806,9.336184,0.396196,0,0.000000,observed
0.840000,1.554799,9.279585,0.370381,0,0.000000,observed
0.880000,1.603780,9.219619,0.400868,0,0.000000,observed
0.920000,1.638643,9.162155,0.396494,0,0.000000,observed
0.960000,1.697771,9.098654,0.343456,0,0.000000,observed
1.000000,1.709055,9.036884,0.347608,0,0.000000,observed
1.040000,1.728236,8.977822,0.317731,0,0.000000,observed
1.080000,1.775423,8.911592,0.382334,0,0.000000,observed
1.120000,1.807725,8.846490,0.401834,0,0.000000,observed
1.160000,1.844211,8.774361,0.398856,0,0.000000,observed
1.200000,1.856530,8.713420,0.400283,0,0.000000,observed
1.240000,1.890388,8.652133,0.406303,0,0.000000,observed
1.280000,1.907875,8.576625,0.443373,0,0.000000,observed
1.320000,1.948460,8.512186,0.465750,0,0.000000,observed
1.360000,1.954064,8.436966,0.478204,0,0.000000,observed
1.400000,2.004313,8.372383,0.455190,0,0.000000,observed
1.440000,2.056390,8.300436,0.464783,0,0.000000,observed
1.480000,2.038479,8.228599,0.429278,0,0.000000,observed
1.520000,2.064453,8.144683,0.423354,0,0.000000,observed
1.560000,2.086922,8.074170,0.428701,0,0.000000,observed
1.600000,2.132309,7.994673,0.462726,0,0.000000,observed
1.640000,2.164619,7.912798,0.466895,0,0.000000,observed
1.680000,2.177766,7.843086,0.481904,0,0.000000,observed
1.720000,2.175169,7.765717,0.493338,0,0.000000,observed
1.760000,2.202589,7.683695,0.498026,0,0.000000,observed
1.800000,2.193626,7.602420,0.551295,0,0.000000,observed
1.840000,2.196346,7.521490,0.540543,0,0.000000,observed
1.880000,2.232918,7.448965,0.542485,0,0.000000,observed
1.920000,2.250834,7.368008,0.528902,0,0.000000,observed
1.960000,2.247228,7.291315,0.520994,0,0.000000,observed
2.000000,2.247442,7.215256,0.522809,0,0.000000,observed
2.040000,2.241518,7.136090,0.546492,0,0.000000,observed
2.080000,2.265062,7.053335,0.563273,0,0.000000,observed
2.120000,2.275120,6.971225,0.569405,0,0.000000,observed
2.160000,2.278754,6.893153,0.579616,0,0.000000,observed
2.200000,2.305582,6.812932,0.579481,0,0.000000,observed
2.240000,2.304270,6.737853,0.561423,0,0.000000,observed
2.280000,2.306697,6.655706,0.569452,0,0.000000,observed
2.320000,2.296816,6.575048,0.546606,0,0.000000,observed
2.360000,2.303951,6.493590,0.528805,0,0.000000,observed
2.400000,2.297297,6.412563,0.493651,0,0.000000,observed
2.440000,2.320457,6.335835,0.484844,1,0.000000,observed
2.480000,2.311893,6.258409,0.464735,1,0.000000,observed
2.520000,2.302298,6.185354,0.434375,2,0.000000,observed
2.560000,2.303795,6.105860,0.419386,4,0.000000,observed
2.600000,2.305522,6.034118,0.435499,4,0.000000,observed
2.640000,2.290882,5.950911,0.444106,4,0.000000,observed
2.680000,2.277954,5.876267,0.442543,5,0.000000,observed
