split,scene_id,observation_index,side_m,visible_neighbours,occupied_cells,multi_neighbour_cells
train,0,0,2.0,1,1,0
train,0,0,4.0,3,3,0
train,0,0,8.0,7,5,2
train,0,1,2.0,1,1,0
train,0,1,4.0,3,3,0
train,0,1,8.0,7,5,2
train,0,2,2.0,1,1,0
train,0,2,4.0,3,3,0
train,0,2,8.0,7,4,3
train,0,3,2.0,1,1,0
train,0,3,4.0,4,3,1
train,0,3,8.0,7,4,3
train,0,4,2.0,1,1,0
train,0,4,4.0,3,3,0
train,0,4,8.0,7,4,3
train,0,5,2.0,1,1,0
train,0,5,4.0,3,3,0
train,0,5,8.0,8,4,3
train,0,6,2.0,1,1,0
train,0,6,4.0,4,4,0
train,0,6,8.0,9,6,3
train,0,7,2.0,1,1,0
train,0,7,4.0,4,4,0
train,0,7,8.0,9,6,3
train,1,0,2.0,2,2,0
train,1,0,4.0,4,4,0
train,1,0,8.0,9,5,4
train,1,1,2.0,2,2,0
train,1,1,4.0,4,4,0
train,1,1,8.0,9,5,4
train,1,2,2.0,2,2,0
train,1,2,4.0,4,4,0
train,1,2,8.0,9,5,4
train,1,3,2.0,1,1,0
train,1,3,4.0,4,3,1
train,1,3,8.0,9,5,4
train,1,4,2.0,0,0,0
train,1,4,4.0,4,3,1
train,1,4,8.0,9,5,4
train,1,5,2.0,0,0,0
train,1,5,4.0,4,3,1
train,1,5,8.0,8,5,3
train,1,6,2.0,1,1,0
train,1,6,4.0,3,3,0
train,1,6,8.0,8,5,3
train,1,7,2.0,1,1,0
train,1,7,4.0,3,3,0
train,1,7,8.0,8,5,3
train,2,0,2.0,1,1,0
train,2,0,4.0,4,3,1
train,2,0,8.0,8,4,4
train,2,1,2.0,1,1,0
train,2,1,4.0,4,3,1
train,2,1,8.0,8,4,4
train,2,2,2.0,1,1,0
train,2,2,4.0,4,3,1
train,2,2,8.0,8,4,4
train,2,3,2.0,1,1,0
train,2,3,4.0,4,3,1
train,2,3,8.0,8,5,3
train,2,4,2.0,1,1,0
train,2,4,4.0,4,3,1
train,2,4,8.0,8,5,3
train,2,5,2.0,1,1,0
train,2,5,4.0,4,3,1
train,2,5,8.0,8,4,4
train,2,6,2.0,1,1,0
train,2,6,4.0,3,2,1
train,2,6,8.0,8,5,3
train,2,7,2.0,1,1,0
train,2,7,4.0,4,3,1
train,2,7,8.0,8,4,4
train,3,0,2.0,1,1,0
train,3,0,4.0,3,3,0
train,3,0,8.0,8,4,3
train,3,1,2.0,1,1,0
train,3,1,4.0,3,3,0
train,3,1,8.0,8,4,3
train,3,2,2.0,1,1,0
train,3,2,4.0,3,3,0
train,3,2,8.0,8,4,3
train,3,3,2.0,1,1,0
train,3,3,4.0,3,3,0
train,3,3,8.0,8,5,2
train,3,4,2.0,1,1,0
train,3,4,4.0,3,3,0
train,3,4,8.0,8,5,2
train,3,5,2.0,2,2,0
train,3,5,4.0,3,3,0
train,3,5,8.0,8,5,2
train,3,6,2.0,2,2,0
train,3,6,4.0,3,3,0
train,3,6,8.0,8,6,1
train,3,7,2.0,2,2,0
train,3,7,4.0,3,3,0
train,3,7,8.0,8,6,1
train,4,0,2.0,1,1,0
train,4,0,4.0,4,4,0
train,4,0,8.0,9,6,3
train,4,1,2.0,1,1,0
train,4,1,4.0,5,5,0
train,4,1,8.0,8,6,1
train,4,2,2.0,1,1,0
train,4,2,4.0,5,5,0
train,4,2,8.0,8,6,1
train,4,3,2.0,1,1,0
train,4,3,4.0,5,5,0
train,4,3,8.0,8,6,1
train,4,4,2.0,1,1,0
train,4,4,4.0,5,5,0
train,4,4,8.0,8,6,1
train,4,5,2.0,1,1,0
train,4,5,4.0,4,4,0
train,4,5,8.0,8,7,1
train,4,6,2.0,1,1,0
train,4,6,4.0,4,4,0
train,4,6,8.0,8,7,1
